col,dtype,n,pct,nuniq,sample
The thought of someone else admiring me while I am a man in the nude is: (g219v7x),float64,485,3.1,6,"['0.0', '1.0', '2.0', '3.0', '5.0', '8.0']"
How horny have you been in the last 24 hours? (2hyrmvh),str,2718,17.5,4,"['A little horny', 'Moderately horny', 'Not horny at all', 'Real horny']"
How horny are you right now? (1jtj2nx),str,2718,17.5,4,"['A little horny', 'Moderately horny', 'Not horny at all', 'Real horny']"
Are you currently experiencing PMS symptoms? (g953661),str,748,4.8,3,"['No', 'Uncertain', 'Yes']"
"""To what extent do you agree with this statement: I am a narcissist. (1bqtk47)",float64,1303,8.4,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
Do you have baby fever? (9stu9yy),str,160,1.0,3,"['A little maybe?', 'Not at all', 'Yeah I want baby']"
bmi,str,15503,100.0,2,"['Not overweight', 'Overweight+']"
bondageaverage,float64,8701,56.1,16,"['0.0', '0.33', '0.67', '1.0', '1.33', '1.67']"
straightness,str,15503,100.0,2,"['Not straight', 'Straight']"
politics,str,15503,100.0,3,"['Conservative', 'Liberal', 'Moderate']"
childhood_adversity,str,4886,31.5,1,['Any']
childhood_gender_tolerance,str,15492,99.9,3,"['Intolerant', 'Medium', 'Tolerant']"
