item_id,qi,col,option,n,n_respondents,rate
91::Ghosts,91,Which of the following do you find erotic? (9kmxhci),Ghosts,411,1322,0.311
91::Hentai characters,91,Which of the following do you find erotic? (9kmxhci),Hentai characters,847,1322,0.641
91::Jesus,91,Which of the following do you find erotic? (9kmxhci),Jesus,16,1322,0.012
91::My Little Pony characters,91,Which of the following do you find erotic? (9kmxhci),My Little Pony characters,147,1322,0.111
91::Orcs/ogres/golems,91,Which of the following do you find erotic? (9kmxhci),Orcs/ogres/golems,298,1322,0.225
91::Robots/cyborgs,91,Which of the following do you find erotic? (9kmxhci),Robots/cyborgs,380,1322,0.287
91::Slime/goo people,91,Which of the following do you find erotic? (9kmxhci),Slime/goo people,390,1322,0.295
91::Superhero/villain characters,91,Which of the following do you find erotic? (9kmxhci),Superhero/villain characters,660,1322,0.499
91::Undead (zombies),91,Which of the following do you find erotic? (9kmxhci),Undead (zombies),140,1322,0.106
91::Unicorns,91,Which of the following do you find erotic? (9kmxhci),Unicorns,76,1322,0.057
91::Vampires,91,Which of the following do you find erotic? (9kmxhci),Vampires,851,1322,0.644
91::Video game characters,91,Which of the following do you find erotic? (9kmxhci),Video game characters,859,1322,0.65
91::Werewolves,91,Which of the following do you find erotic? (9kmxhci),Werewolves,566,1322,0.428
92::Behavioral restrictions (e.g. limits on speech),92,Which of the following do you find erotic? (fnwke2d),Behavioral restrictions (e.g. limits on speech),979,3593,0.272
92::Bootblacking (polishing shoes submissively),92,Which of the following do you find erotic? (fnwke2d),Bootblacking (polishing shoes submissively),291,3593,0.081
"92::Breath play (choking, asphyxiation)",92,Which of the following do you find erotic? (fnwke2d),"Breath play (choking, asphyxiation)",2339,3593,0.651
92::Disempowerment (stripping power away from a powerful person),92,Which of the following do you find erotic? (fnwke2d),Disempowerment (stripping power away from a powerful person),964,3593,0.268
92::Financial domination,92,Which of the following do you find erotic? (fnwke2d),Financial domination,355,3593,0.099
92::Internal Enslavement (behavioral restrictions are internally imposed/fully trained),92,Which of the following do you find erotic? (fnwke2d),Internal Enslavement (behavioral restrictions are internally imposed/fully trained),643,3593,0.179
"92::Marking as property (e.g., branding, collars)",92,Which of the following do you find erotic? (fnwke2d),"Marking as property (e.g., branding, collars)",1643,3593,0.457
92::Orgasm denial,92,Which of the following do you find erotic? (fnwke2d),Orgasm denial,2270,3593,0.632
92::Orgasm overload,92,Which of the following do you find erotic? (fnwke2d),Orgasm overload,2471,3593,0.688
92::Ownership,92,Which of the following do you find erotic? (fnwke2d),Ownership,1643,3593,0.457
92::Petplay (master/pet roleplay),92,Which of the following do you find erotic? (fnwke2d),Petplay (master/pet roleplay),1149,3593,0.32
"92::Physical struggle/overpowering (e.g., pinning)",92,Which of the following do you find erotic? (fnwke2d),"Physical struggle/overpowering (e.g., pinning)",2535,3593,0.706
"92::Powerbottoming (enthusiastic submissive, often queer)",92,Which of the following do you find erotic? (fnwke2d),"Powerbottoming (enthusiastic submissive, often queer)",884,3593,0.246
92::Service/utility submission (performing service tasks),92,Which of the following do you find erotic? (fnwke2d),Service/utility submission (performing service tasks),957,3593,0.266
92::Sexual education,92,Which of the following do you find erotic? (fnwke2d),Sexual education,839,3593,0.234
"92::Sexual training (e.g., to give deeper blowjobs)",92,Which of the following do you find erotic? (fnwke2d),"Sexual training (e.g., to give deeper blowjobs)",2452,3593,0.682
92::World of femaledom,92,Which of the following do you find erotic? (fnwke2d),World of femaledom,774,3593,0.215
92::World of maledom,92,Which of the following do you find erotic? (fnwke2d),World of maledom,645,3593,0.18
93::Anal beads,93,Which of the following do you find erotic? (g5qw0tc),Anal beads,1435,3228,0.445
93::Anal dildos (huge),93,Which of the following do you find erotic? (g5qw0tc),Anal dildos (huge),721,3228,0.223
93::Anal dildos (normal),93,Which of the following do you find erotic? (g5qw0tc),Anal dildos (normal),1584,3228,0.491
93::Anal hooks,93,Which of the following do you find erotic? (g5qw0tc),Anal hooks,516,3228,0.16
93::Buttplugs,93,Which of the following do you find erotic? (g5qw0tc),Buttplugs,2045,3228,0.634
93::Double ended dildos,93,Which of the following do you find erotic? (g5qw0tc),Double ended dildos,945,3228,0.293
93::Fuck machines,93,Which of the following do you find erotic? (g5qw0tc),Fuck machines,1621,3228,0.502
93::Pumps (breast),93,Which of the following do you find erotic? (g5qw0tc),Pumps (breast),661,3228,0.205
93::Pumps (penis),93,Which of the following do you find erotic? (g5qw0tc),Pumps (penis),514,3228,0.159
93::Pumps (pussy),93,Which of the following do you find erotic? (g5qw0tc),Pumps (pussy),762,3228,0.236
93::Remote control toys,93,Which of the following do you find erotic? (g5qw0tc),Remote control toys,2351,3228,0.728
93::Sex swings,93,Which of the following do you find erotic? (g5qw0tc),Sex swings,1043,3228,0.323
93::Showerheads,93,Which of the following do you find erotic? (g5qw0tc),Showerheads,1320,3228,0.409
93::Speculums,93,Which of the following do you find erotic? (g5qw0tc),Speculums,218,3228,0.068
93::Strap-ons,93,Which of the following do you find erotic? (g5qw0tc),Strap-ons,1190,3228,0.369
93::Sybians,93,Which of the following do you find erotic? (g5qw0tc),Sybians,535,3228,0.166
93::TENS/PENS units,93,Which of the following do you find erotic? (g5qw0tc),TENS/PENS units,128,3228,0.04
93::Vaginal dildos (huge),93,Which of the following do you find erotic? (g5qw0tc),Vaginal dildos (huge),1019,3228,0.316
93::Vaginal dildos (normal),93,Which of the following do you find erotic? (g5qw0tc),Vaginal dildos (normal),2265,3228,0.702
93::Vibrators,93,Which of the following do you find erotic? (g5qw0tc),Vibrators,2892,3228,0.896
93::Weights,93,Which of the following do you find erotic? (g5qw0tc),Weights,220,3228,0.068
94::Chain mail,94,Which of the following do you find erotic? (m66m8ix),Chain mail,203,1719,0.118
94::Denim,94,Which of the following do you find erotic? (m66m8ix),Denim,388,1719,0.226
94::Fur,94,Which of the following do you find erotic? (m66m8ix),Fur,348,1719,0.202
94::Latex/rubber,94,Which of the following do you find erotic? (m66m8ix),Latex/rubber,1069,1719,0.622
94::Leather,94,Which of the following do you find erotic? (m66m8ix),Leather,999,1719,0.581
94::Other,94,Which of the following do you find erotic? (m66m8ix),Other,327,1719,0.19
94::PVC/vinyl,94,Which of the following do you find erotic? (m66m8ix),PVC/vinyl,337,1719,0.196
94::Silk,94,Which of the following do you find erotic? (m66m8ix),Silk,1023,1719,0.595
94::Wetlook,94,Which of the following do you find erotic? (m66m8ix),Wetlook,635,1719,0.369
95::Airplanes/cars,95,Which of the following do you find erotic? (rhb3fup),Airplanes/cars,155,1095,0.142
95::Buildings,95,Which of the following do you find erotic? (rhb3fup),Buildings,67,1095,0.061
95::Chains,95,Which of the following do you find erotic? (rhb3fup),Chains,431,1095,0.394
95::Clothing,95,Which of the following do you find erotic? (rhb3fup),Clothing,536,1095,0.489
95::Condoms (unused),95,Which of the following do you find erotic? (rhb3fup),Condoms (unused),289,1095,0.264
95::Condoms (used),95,Which of the following do you find erotic? (rhb3fup),Condoms (used),207,1095,0.189
95::Dolls,95,Which of the following do you find erotic? (rhb3fup),Dolls,87,1095,0.079
95::Food,95,Which of the following do you find erotic? (rhb3fup),Food,127,1095,0.116
95::Guns,95,Which of the following do you find erotic? (rhb3fup),Guns,220,1095,0.201
95::Hairbrushes/clips/scrunchies,95,Which of the following do you find erotic? (rhb3fup),Hairbrushes/clips/scrunchies,339,1095,0.31
"95::Inflatables (e.g., balloons)",95,Which of the following do you find erotic? (rhb3fup),"Inflatables (e.g., balloons)",69,1095,0.063
"95::Nature (plants, mushrooms, etc.)",95,Which of the following do you find erotic? (rhb3fup),"Nature (plants, mushrooms, etc.)",56,1095,0.051
95::Other,95,Which of the following do you find erotic? (rhb3fup),Other,203,1095,0.185
95::Plants,95,Which of the following do you find erotic? (rhb3fup),Plants,40,1095,0.037
95::Plushies,95,Which of the following do you find erotic? (rhb3fup),Plushies,142,1095,0.13
95::Realdolls,95,Which of the following do you find erotic? (rhb3fup),Realdolls,85,1095,0.078
95::Robots,95,Which of the following do you find erotic? (rhb3fup),Robots,97,1095,0.089
95::Rope,95,Which of the following do you find erotic? (rhb3fup),Rope,688,1095,0.628
95::Statues/mannequins,95,Which of the following do you find erotic? (rhb3fup),Statues/mannequins,96,1095,0.088
96::Bukkake,96,Which of the following do you find erotic? (3hof3bj),Bukkake,759,2342,0.324
96::Cheating,96,Which of the following do you find erotic? (3hof3bj),Cheating,725,2342,0.31
96::Circle jerks,96,Which of the following do you find erotic? (3hof3bj),Circle jerks,337,2342,0.144
96::Cuckolding,96,Which of the following do you find erotic? (3hof3bj),Cuckolding,735,2342,0.314
96::Dogging (sex with strangers in public),96,Which of the following do you find erotic? (3hof3bj),Dogging (sex with strangers in public),796,2342,0.34
96::Double penetration,96,Which of the following do you find erotic? (3hof3bj),Double penetration,1417,2342,0.605
96::Freeuse (society where people casually have sex with anyone),96,Which of the following do you find erotic? (3hof3bj),Freeuse (society where people casually have sex with anyone),1176,2342,0.502
96::Gang bangs,96,Which of the following do you find erotic? (3hof3bj),Gang bangs,1231,2342,0.526
96::Harems,96,Which of the following do you find erotic? (3hof3bj),Harems,802,2342,0.342
"96::Hotwifing (wife sex with others, non-humiliatingly)",96,Which of the following do you find erotic? (3hof3bj),"Hotwifing (wife sex with others, non-humiliatingly)",717,2342,0.306
96::Orgies,96,Which of the following do you find erotic? (3hof3bj),Orgies,1075,2342,0.459
96::Partner swapping,96,Which of the following do you find erotic? (3hof3bj),Partner swapping,833,2342,0.356
96::Possessiveness (sexual partners fighting),96,Which of the following do you find erotic? (3hof3bj),Possessiveness (sexual partners fighting),600,2342,0.256
96::Sloppy seconds,96,Which of the following do you find erotic? (3hof3bj),Sloppy seconds,567,2342,0.242
96::Soft swinging,96,Which of the following do you find erotic? (3hof3bj),Soft swinging,495,2342,0.211
96::Swinging,96,Which of the following do you find erotic? (3hof3bj),Swinging,538,2342,0.23
96::Synchronized fucking,96,Which of the following do you find erotic? (3hof3bj),Synchronized fucking,470,2342,0.201
96::Threesomes,96,Which of the following do you find erotic? (3hof3bj),Threesomes,2031,2342,0.867
96::Triple penetration,96,Which of the following do you find erotic? (3hof3bj),Triple penetration,790,2342,0.337
97::Cameltoe,97,Which of the following do you find erotic? (5mhacm7),Cameltoe,1385,1891,0.732
97::Clothes stained with bodily fluids,97,Which of the following do you find erotic? (5mhacm7),Clothes stained with bodily fluids,334,1891,0.177
97::Clothing that's too big,97,Which of the following do you find erotic? (5mhacm7),Clothing that's too big,431,1891,0.228
97::Clothing that's too small,97,Which of the following do you find erotic? (5mhacm7),Clothing that's too small,1396,1891,0.738
97::Dirty clothes,97,Which of the following do you find erotic? (5mhacm7),Dirty clothes,87,1891,0.046
97::Shirtcocking,97,Which of the following do you find erotic? (5mhacm7),Shirtcocking,199,1891,0.105
97::Tearing clothing,97,Which of the following do you find erotic? (5mhacm7),Tearing clothing,936,1891,0.495
97::Wardrobe malfunctions,97,Which of the following do you find erotic? (5mhacm7),Wardrobe malfunctions,1124,1891,0.594
97::Wedgies,97,Which of the following do you find erotic? (5mhacm7),Wedgies,461,1891,0.244
"98::""Popular kids""",98,Which of the following do you find erotic? (xhe2co5),"""Popular kids""",590,1330,0.444
98::Artists,98,Which of the following do you find erotic? (xhe2co5),Artists,608,1330,0.457
98::Geeks/nerds,98,Which of the following do you find erotic? (xhe2co5),Geeks/nerds,876,1330,0.659
98::Jocks,98,Which of the following do you find erotic? (xhe2co5),Jocks,474,1330,0.356
98::Neurotic mothers,98,Which of the following do you find erotic? (xhe2co5),Neurotic mothers,242,1330,0.182
98::Punks/goths,98,Which of the following do you find erotic? (xhe2co5),Punks/goths,795,1330,0.598
98::Stoners,98,Which of the following do you find erotic? (xhe2co5),Stoners,327,1330,0.246
98::Theater people,98,Which of the following do you find erotic? (xhe2co5),Theater people,301,1330,0.226
99::Asians,99,Which of the following do you find erotic? (uju0gwc),Asians,890,1057,0.842
99::Black people,99,Which of the following do you find erotic? (uju0gwc),Black people,587,1057,0.555
99::Caucasians,99,Which of the following do you find erotic? (uju0gwc),Caucasians,780,1057,0.738
99::East asians,99,Which of the following do you find erotic? (uju0gwc),East asians,618,1057,0.585
99::Middle eastern/arabic,99,Which of the following do you find erotic? (uju0gwc),Middle eastern/arabic,507,1057,0.48
99::Native americans,99,Which of the following do you find erotic? (uju0gwc),Native americans,369,1057,0.349
99::Pacific islanders,99,Which of the following do you find erotic? (uju0gwc),Pacific islanders,378,1057,0.358
99::Scandinavians,99,Which of the following do you find erotic? (uju0gwc),Scandinavians,501,1057,0.474
99::Southeast asians,99,Which of the following do you find erotic? (uju0gwc),Southeast asians,492,1057,0.465
